Year,VALUE.x,VALUE.y
2010,123.2,7737
2011,128.1,7799
2012,131,7462
2013,132.9,7751
2014,136.2,8102
2015,141.2,8475
2016,143.5,8747
2017,143.3,9098
2019,152.6,10418
2021,159.4,9822
