Year,VALUE.x,VALUE.y
2010,121.3,16716
2011,123.1,16880
2012,125,17133
2013,126.9,18039
2014,131.5,19409
2015,134.5,19197
2016,138.1,20434
2017,140.4,20776
2019,147,22364
2021,156.5,24101
