Year,cpi,expenditure
2010,116.5,75556
2011,120.1,77125
2012,121.8,78846
2013,123,82479
2014,125.9,84406
2015,127.4,85379
2016,129.7,88953
2017,131.9,90447
2019,137.5,97385
2021,143.2,97357
