Year,VALUE.x,VALUE.y
2010,9627930,75556
2011,9741870,77125
2012,9743420,78846
2013,9867280,82479
2014,10083520,84406
2015,10157280,85379
2016,10299220,88953
2017,10453060,90447
2019,10954030,97385
2021,11101670,97357
