Year,VALUE.x,VALUE.y
2010,104.2,3451
2011,105.9,3696
2012,107.1,3604
2013,107.9,3970
2014,109.5,3739
2015,111.7,3788
2016,114.1,4042
2017,117.5,3872
2019,119.9,4560
2021,118.6,4160
