Year,income,cpi,expenditure
2010,9627930,116.5,75556
2011,9741870,120.1,77125
2012,9743420,121.8,78846
2013,9867280,123,82479
2014,10083520,125.9,84406
2015,10157280,127.4,85379
2016,10299220,129.7,88953
2017,10453060,131.9,90447
2019,10954030,137.5,97385
2021,11101670,143.2,97357
